year,report_fc_count,report_fc_mean,report_fc_std,cal_fc_count,cal_fc_mean,cal_fc_std
2019,699,1313.9962804005722,940.7087659667379,699,1361.5716831952857,1152.958199269726
2020,723,1275.417897648686,888.8297230316977,723,1548.412194362861,1418.281724123108
2021,720,1364.564375,980.9705226994195,720,1496.8500043413362,1285.020661596151
